n;arr;i;i <= n;i %2 !=0 && i %5 !=0;i %5 ===0;i %2 === 0;i %2 != 0;arr.push(i);i++
10;-;1;true;true - snap;-;-;-;-;1 + 1 = 2
10;snap;2;true;false;false;false;false;2;2 + 1 = 3
10;2;3;true;true - snap;-;-;-;-;3 + 1 = 4
10;snap;4;true;false;false;false;false;4;4 + 1 = 5
10;4;5;true;false;true - crackle;-;true - SnapCrackle;-;5 + 1 = 6
10;snapcrackle;6;true;false;false;false;false;6;6 + 1 = 7
10;6;7;true;true - snap;-;-;-;-;7 + 1 = 8
10;snap;8;true;false;false;false;false;8;8 + 1 = 9
10;8;9;true;" true - snap";-;-;-;-;9 +1 = 10
10;snap;10;true;false;true - crakle;-;-;-;10 + 1 = 11
10;crakle;11;false;-;-;-;-;-;-